,SignId,pX,pY,Retro
0,8,0.7809999999999999,0.395,0.8
1,8,0.682,0.289,0.8
2,8,0.6629999999999999,0.47,0.81
3,8,0.562,0.376,0.8
4,8,0.562,0.562,0.81
5,8,0.46299999999999997,0.273,0.8
6,8,0.46299999999999997,0.45399999999999996,0.82
7,8,0.48100000000000004,0.643,0.81
8,8,0.366,0.34299999999999997,0.8
9,8,0.363,0.527,0.82
10,8,0.363,0.6970000000000001,0.8
11,8,0.282,0.251,0.81
12,8,0.265,0.414,0.82
13,8,0.265,0.586,0.81
14,8,0.265,0.757,0.8
15,8,0.183,0.311,0.81
16,8,0.183,0.478,0.81
17,8,0.168,0.6409999999999999,0.8
18,8,0.087,0.365,0.8
