SignId,Id,X,Y,Z,Retro,Angle,Distance,UTC,R,G,B,H,S,V,pX,pY,Unnamed: 17,COLOR
4,45038,33.787,-84.406,244.919,0.59,-0.158,8.935,66091.961,190,151,162,344,0.204,0.745,1,0.58,,WHITE
4,45099,33.787,-84.406,245.128,0.71,-0.137,8.77,66091.974,192,144,136,8,0.29,0.753,0.903,0.217,,RED
4,45100,33.787,-84.406,245.038,0.67,-0.148,8.773,66091.974,202,194,203,294,0.043,0.796,0.902,0.373,,WHITE
4,45101,33.787,-84.406,244.947,0.71,-0.158,8.789,66091.974,194,127,129,358,0.345,0.761,0.902,0.531,,WHITE
4,45102,33.787,-84.406,244.857,0.69,-0.168,8.791,66091.974,194,130,130,0,0.329,0.761,0.882,0.688,,RED
4,45162,33.787,-84.406,245.155,0.72,-0.137,8.618,66091.988,187,148,147,2,0.216,0.733,0.805,0.17,,RED
4,45163,33.787,-84.406,245.062,0.61,-0.148,8.653,66091.988,190,160,166,348,0.157,0.745,0.827,0.332,,WHITE
4,45164,33.787,-84.406,244.977,0.71,-0.158,8.639,66091.988,213,187,198,334,0.122,0.835,0.804,0.479,,WHITE
4,45165,33.787,-84.406,244.888,0.71,-0.168,8.644,66091.988,210,194,206,316,0.075,0.824,0.784,0.634,,WHITE
4,45166,33.787,-84.406,244.799,0.72,-0.178,8.657,66091.988,191,123,122,0,0.361,0.749,0.784,0.788,,RED
4,45224,33.787,-84.406,245.179,0.57,-0.137,8.475,66092.001,194,158,157,2,0.192,0.761,0.727,0.128,,RED
4,45226,33.787,-84.406,245.005,0.52,-0.158,8.487,66092.001,231,182,172,10,0.255,0.906,0.706,0.431,,RED
4,45227,33.787,-84.406,244.916,0.72,-0.168,8.502,66092.001,204,136,132,4,0.353,0.8,0.706,0.585,,RED
4,45228,33.787,-84.406,244.831,0.69,-0.178,8.501,66092.001,195,127,126,0,0.353,0.765,0.686,0.733,,RED
4,45229,33.787,-84.406,244.742,0.63,-0.189,8.517,66092.001,199,126,129,358,0.369,0.78,0.686,0.887,,WHITE
4,45289,33.787,-84.406,245.202,0.72,-0.137,8.335,66092.014,188,124,121,2,0.357,0.737,0.631,0.089,,RED
4,45290,33.787,-84.406,245.119,0.64,-0.148,8.329,66092.014,187,149,141,10,0.247,0.733,0.608,0.233,,RED
4,45291,33.787,-84.406,245.033,0.71,-0.158,8.34,66092.014,199,140,142,358,0.298,0.78,0.608,0.382,,WHITE
4,45292,33.787,-84.406,244.946,0.71,-0.168,8.351,66092.014,196,134,126,6,0.357,0.769,0.608,0.533,,RED
4,45293,33.787,-84.406,244.86,0.7,-0.178,8.364,66092.014,194,127,128,0,0.345,0.761,0.589,0.682,,RED
4,45294,33.787,-84.406,244.774,0.69,-0.189,8.371,66092.014,194,128,126,2,0.349,0.761,0.588,0.832,,RED
4,45295,33.787,-84.406,244.688,0.7,-0.199,8.379,66092.014,196,133,135,358,0.322,0.769,0.568,0.981,,WHITE
4,45352,33.787,-84.406,245.229,0.72,-0.137,8.185,66092.028,187,123,123,0,0.341,0.733,0.533,0.042,,RED
4,45353,33.787,-84.406,245.145,0.6,-0.148,8.194,66092.028,187,151,149,4,0.204,0.733,0.533,0.188,,RED
4,45355,33.787,-84.406,244.978,0.66,-0.168,8.199,66092.028,227,224,212,48,0.067,0.89,0.511,0.477,,RED
4,45356,33.787,-84.406,244.897,0.71,-0.178,8.187,66092.028,190,134,128,6,0.325,0.745,0.49,0.618,,RED
4,45357,33.787,-84.406,244.809,0.68,-0.189,8.215,66092.028,192,125,126,0,0.349,0.753,0.49,0.771,,RED
4,45358,33.787,-84.406,244.725,0.58,-0.199,8.226,66092.028,198,155,151,6,0.239,0.776,0.47,0.917,,RED
4,45415,33.787,-84.406,245.253,0.72,-0.137,8.04,66092.041,191,122,119,2,0.376,0.749,0.439,0,,RED
