,SignId,pX,pY,Retro
0,12,0.941,0.262,0.82
1,12,0.924,0.7709999999999999,0.82
2,12,0.86,0.43200000000000005,0.82
3,12,0.857,0.831,0.81
4,12,0.825,0.106,0.79
5,12,0.804,0.49700000000000005,0.81
6,12,0.794,0.596,0.82
7,12,0.7879999999999999,0.893,0.81
8,12,0.755,0.175,0.79
9,12,0.743,0.272,0.81
10,12,0.746,0.366,0.81
11,12,0.736,0.461,0.81
12,12,0.736,0.56,0.81
13,12,0.7190000000000001,0.647,0.81
14,12,0.6859999999999999,0.14300000000000002,0.8
15,12,0.6970000000000001,0.24600000000000002,0.8
16,12,0.674,0.33399999999999996,0.81
17,12,0.607,0.391,0.81
18,12,0.609,0.486,0.8
19,12,0.601,0.5760000000000001,0.8
20,12,0.546,0.361,0.8
21,12,0.546,0.632,0.8
22,12,0.544,0.813,0.8
23,12,0.479,0.41600000000000004,0.8
24,12,0.48200000000000004,0.505,0.79
25,12,0.485,0.597,0.79
26,12,0.431,0.295,0.8
27,12,0.42200000000000004,0.382,0.8
28,12,0.361,0.26,0.79
29,12,0.364,0.34600000000000003,0.79
30,12,0.35600000000000004,0.431,0.79
31,12,0.303,0.226,0.79
32,12,0.309,0.309,0.8
33,12,0.24600000000000002,0.522,0.79
34,12,0.243,0.603,0.79
35,12,0.243,0.687,0.79
