SignId,Id,X,Y,Z,Retro,Angle,Distance,UTC,R,G,B,H,S,V,pX,pY,Unnamed: 17,COLOR
1,37391,33.787,-84.406,244.939,0.67,-0.127,8.902,66090.35,250,248,252,270,0.016,0.988,1,0.398,,WHITE
1,37392,33.787,-84.406,244.848,0.72,-0.137,8.903,66090.35,248,253,254,190,0.024,0.996,0.987,0.497,,WHITE
1,37393,33.787,-84.406,244.76,0.74,-0.148,8.894,66090.35,251,254,255,196,0.016,1,0.974,0.593,,WHITE
1,37394,33.787,-84.406,244.672,0.75,-0.158,8.882,66090.35,251,254,255,196,0.016,1,0.961,0.689,,WHITE
1,37455,33.787,-84.406,245.047,0.75,-0.117,8.775,66090.363,248,251,254,210,0.024,0.996,0.953,0.281,,WHITE
1,37456,33.787,-84.406,244.957,0.75,-0.127,8.781,66090.363,250,253,254,196,0.016,0.996,0.952,0.379,,WHITE
1,37457,33.787,-84.406,244.869,0.75,-0.137,8.775,66090.363,251,254,255,196,0.016,1,0.939,0.474,,WHITE
1,37458,33.787,-84.406,244.78,0.3,-0.148,8.774,66090.363,251,254,255,196,0.016,1,0.926,0.571,,WHITE
1,37459,33.787,-84.406,244.692,0.31,-0.158,8.772,66090.363,251,254,255,196,0.016,1,0.914,0.667,,WHITE
1,37460,33.787,-84.406,244.604,0.32,-0.168,8.766,66090.363,253,253,255,240,0.008,1,0.913,0.763,,WHITE
1,37523,33.787,-84.406,245.063,0.33,-0.117,8.66,66090.376,249,252,255,210,0.024,1,0.917,0.263,,WHITE
1,37524,33.787,-84.406,244.977,0.34,-0.127,8.65,66090.376,250,253,254,196,0.016,0.996,0.903,0.357,,WHITE
1,37525,33.787,-84.406,244.888,0.35,-0.137,8.655,66090.376,251,254,255,196,0.016,1,0.891,0.454,,WHITE
1,37526,33.787,-84.406,244.802,0.36,-0.148,8.646,66090.376,251,254,255,196,0.016,1,0.878,0.547,,WHITE
1,37527,33.787,-84.406,244.712,0.37,-0.158,8.661,66090.376,252,253,255,220,0.012,1,0.878,0.645,,WHITE
1,37528,33.787,-84.406,244.626,0.38,-0.168,8.651,66090.376,252,253,255,220,0.012,1,0.866,0.739,,WHITE
1,37529,33.787,-84.406,244.538,0.39,-0.178,8.658,66090.376,252,253,254,210,0.008,0.996,0.854,0.835,,WHITE
1,37591,33.787,-84.406,245.078,0.4,-0.117,8.554,66090.39,249,252,253,196,0.016,0.992,0.871,0.247,,WHITE
1,37592,33.787,-84.406,244.993,0.76,-0.127,8.546,66090.39,250,253,254,196,0.016,0.996,0.857,0.339,,WHITE
1,37593,33.787,-84.406,244.904,0.74,-0.137,8.557,66090.39,251,254,255,196,0.016,1,0.857,0.436,,WHITE
1,37594,33.787,-84.406,244.82,0.75,-0.148,8.545,66090.39,251,254,255,196,0.016,1,0.843,0.528,,WHITE
1,37595,33.787,-84.406,244.735,0.75,-0.158,8.536,66090.39,252,253,255,220,0.012,1,0.83,0.62,,WHITE
1,37596,33.787,-84.406,244.651,0.75,-0.168,8.525,66090.39,252,253,255,220,0.012,1,0.818,0.712,,WHITE
1,37597,33.787,-84.406,244.565,0.75,-0.178,8.526,66090.39,252,253,255,220,0.012,1,0.807,0.805,,WHITE
1,37598,33.787,-84.406,244.477,0.6,-0.189,8.537,66090.39,248,251,255,214,0.027,1,0.807,0.901,,WHITE
1,37660,33.787,-84.406,245.179,0.7,-0.107,8.437,66090.403,248,250,255,222,0.027,1,0.836,0.137,,WHITE
1,37661,33.787,-84.406,245.094,0.75,-0.117,8.433,66090.403,249,252,253,196,0.016,0.992,0.823,0.23,,WHITE
1,37662,33.787,-84.406,245.01,0.75,-0.127,8.425,66090.403,250,253,254,196,0.016,0.996,0.809,0.321,,WHITE
1,37663,33.787,-84.406,244.924,0.75,-0.137,8.425,66090.403,251,254,255,196,0.016,1,0.808,0.415,,WHITE
1,37664,33.787,-84.406,244.837,0.75,-0.148,8.434,66090.403,251,254,255,196,0.016,1,0.796,0.509,,WHITE
1,37665,33.787,-84.406,244.756,0.75,-0.158,8.414,66090.403,252,253,255,220,0.012,1,0.783,0.597,,WHITE
1,37666,33.787,-84.406,244.67,0.74,-0.168,8.417,66090.403,252,253,255,220,0.012,1,0.783,0.691,,WHITE
1,37667,33.787,-84.406,244.584,0.75,-0.178,8.424,66090.403,252,253,255,220,0.012,1,0.771,0.785,,WHITE
1,37668,33.787,-84.406,244.502,0.75,-0.189,8.41,66090.403,252,253,255,220,0.012,1,0.759,0.874,,WHITE
1,37726,33.787,-84.406,245.195,0.75,-0.107,8.323,66090.416,249,252,253,196,0.016,0.992,0.789,0.12,,WHITE
1,37727,33.787,-84.406,245.112,0.76,-0.117,8.305,66090.416,249,252,253,196,0.016,0.992,0.775,0.21,,WHITE
1,37728,33.787,-84.406,245.027,0.75,-0.127,8.309,66090.416,250,253,254,196,0.016,0.996,0.774,0.303,,WHITE
1,37729,33.787,-84.406,244.941,0.75,-0.137,8.324,66090.416,251,254,255,196,0.016,1,0.774,0.396,,WHITE
1,37730,33.787,-84.406,244.86,0.75,-0.148,8.303,66090.416,250,253,254,196,0.016,0.996,0.748,0.484,,WHITE
1,37731,33.787,-84.406,244.775,0.74,-0.158,8.306,66090.416,252,253,255,220,0.012,1,0.748,0.577,,WHITE
1,37732,33.787,-84.406,244.693,0.75,-0.168,8.299,66090.416,252,253,255,220,0.012,1,0.735,0.666,,WHITE
1,37733,33.787,-84.406,244.607,0.75,-0.178,8.309,66090.416,252,253,255,220,0.012,1,0.723,0.76,,WHITE
1,37734,33.787,-84.406,244.525,0.75,-0.189,8.304,66090.416,252,253,255,220,0.012,1,0.712,0.849,,WHITE
1,37735,33.787,-84.406,244.44,0.75,-0.199,8.314,66090.416,252,253,255,220,0.012,1,0.712,0.941,,WHITE
1,37791,33.787,-84.406,245.213,0.75,-0.106,8.194,66090.429,249,252,253,196,0.016,0.992,0.741,0.1,,WHITE
1,37792,33.787,-84.406,245.127,0.76,-0.117,8.209,66090.429,249,252,253,196,0.016,0.992,0.742,0.194,,WHITE
1,37793,33.787,-84.406,245.047,0.75,-0.127,8.188,66090.43,250,253,254,196,0.016,0.996,0.726,0.281,,WHITE
1,37794,33.787,-84.406,244.964,0.75,-0.137,8.184,66090.43,251,254,255,196,0.016,1,0.713,0.371,,WHITE
